id/title	Gene symbol	Gene ID	Squamous cell lung cancer X31nml	Squamous cell lung cancer X31sqm	Squamous cell lung cancer X33nml	Squamous cell lung cancer X33sqm	Squamous cell lung cancer X35nml	Squamous cell lung cancer X35sqm	Squamous cell lung cancer X36nml	Squamous cell lung cancer X36sqm	Squamous cell lung cancer X42nml	Squamous cell lung cancer X42sqm
geo_accession	na	na	GSM73386	GSM73387	GSM73388	GSM73389	GSM73390	GSM73391	GSM73392	GSM73393	GSM73394	GSM73395
characteristics_ch1	na	na	Human squamous cell lung cancer cells	Human squamous cell lung cancer cells	Human squamous cell lung cancer cells	Human squamous cell lung cancer cells	Human squamous cell lung cancer cells	Human squamous cell lung cancer cells	Human squamous cell lung cancer cells	Human squamous cell lung cancer cells	Human squamous cell lung cancer cells	Human squamous cell lung cancer cells
1007_s_at	MIR4640///DDR1	100616237///780	9.185	10.529	9.618	10.343	9.369	10.484	9.61	10.934	9.372	11.332
1053_at	RFC2	5982	6.282	6.803	6.389	6.717	6.402	6.616	6.395	6.6	6.34	7.067
117_at	HSPA6	3310	6.508	6.514	6.48	6.427	6.587	6.557	6.658	6.486	6.799	6.436
121_at	PAX8	7849	8.945	8.898	9.004	9.017	9.145	9.017	9.032	8.791	8.719	8.725
1255_g_at	GUCA1A	2978	3.974	4.007	4.142	4.157	4.296	4.294	4.043	4.068	4.043	4.082
1294_at	MIR5193///UBA7	100847079///7318	8.272	7.508	8.542	7.994	8.342	7.674	8.213	7.267	8.649	7.667
1316_at	THRA	7067	5.734	5.851	5.887	5.928	5.955	5.883	5.744	5.783	5.764	5.816
1320_at	PTPN21	11099	5.328	4.861	5.157	4.877	4.964	4.944	4.934	4.844	4.908	4.78
1405_i_at	CCL5	6352	7.658	6.92	7.678	6.976	6.891	6.862	6.977	5.643	7.416	5.233
1431_at	CYP2E1	1571	4.059	4.133	3.981	4.066	4	4.041	3.974	3.966	4.06	3.945
1438_at	EPHB3	2049	7.362	8.17	7.292	8.077	7.214	7.715	7.139	8.358	6.981	8.93
1487_at	ESRRA	2101	7.799	7.723	7.855	7.784	7.805	7.777	7.722	7.448	7.696	7.771
1494_f_at	CYP2A6	1548	6.97	6.783	7.206	7.065	7.146	7.082	7.013	7.095	6.977	6.847
1598_g_at	GAS6	2621	10.951	10.202	10.778	10.353	10.644	10.047	10.778	9.548	11.145	9.637
160020_at	MMP14	4323	8.509	8.771	8.56	9.34	8.73	9.603	8.535	9.347	8.466	8.734
1729_at	TRADD	8717	8.01	8.153	8.043	7.907	7.929	8.125	7.997	7.838	8.218	7.643
1773_at	CHURC1-FNTB///FNTB	100529261///2342	6.223	6.618	6.158	6.192	6.112	6.227	6.165	5.918	5.845	6.16
177_at	PLD1	5337	5.606	6.21	5.564	5.772	5.602	5.624	5.606	5.594	5.269	5.529
179_at	DTX2P1-UPK3BP1-PMS2P11	441263	9.67	9.491	9.702	9.628	9.693	9.626	9.62	9.459	9.448	9.396
1861_at	BAD	572	6.646	6.624	6.519	6.606	6.267	6.811	6.606	6.703	6.288	6.765
200000_s_at	PRPF8	10594	9.378	9.37	9.479	9.55	9.381	9.146	9.764	9.179	9.466	9.645
200001_at	CAPNS1	826	11.032	10.849	11.052	10.729	10.942	11.113	11.125	10.456	10.855	10.372
