id/title	Gene symbol	Gene ID	PC9	PC7	PC14	A549	LU65	LK2	H69	N231	LU135	SBC3	RERF LC-KJ	RERF LC-MS	RERF-LC-AI	PC-1	PC-3	PC-6	PC-10	Lu130	Lu139	Lu165	ABC-1	EBC-1	LC2/ad	LC1/sq	LC-1F	SQ-5	QG-56	MS-1	SBC-5
geo_accession	na	na	GSM94303	GSM94304	GSM94305	GSM94306	GSM94307	GSM94308	GSM94309	GSM94310	GSM94311	GSM94312	GSM94313	GSM94314	GSM94315	GSM94316	GSM94317	GSM94318	GSM94319	GSM94320	GSM94321	GSM94322	GSM94323	GSM94324	GSM94325	GSM94326	GSM94327	GSM94328	GSM94329	GSM94330	GSM94331
characteristics_ch1	na	na	adenocarcinoma cell line(Non-small)	adenocarcinoma cell line(Non-small)	adenocarcinoma cell line(Non-small)	adenocarcinoma cell line(Non-small)	adenocarcinoma cell line(Non-small)	squamous cell cancer cell line	small cell cancer cell line	small cell cancer cell line	small cell cancer cell line	small cell cancer cell line	adenocarcinoma cell line(Non-small)	adenocarcinoma cell line(Non-small)	squamous cell cancer cell line	squamous cell cancer cell line	adenocarcinoma cell line(Non-small)	small cell cancer cell line	squamous cell cancer cell line	small cell cancer cell line	small cell cancer cell line	small cell cancer cell line	adenocarcinoma cell line(Non-small)	squamous cell cancer cell line	adenocarcinoma cell line(Non-small)	squamous cell cancer cell line	squamous cell cancer cell line	squamous cell cancer cell line	squamous cell cancer cell line	small cell cancer cell line	small cell cancer cell line
1007_s_at	MIR4640///DDR1	100616237///780	1820.6	975	1023.2	1191	892.7	481.2	547	340.4	695.1	406.4	957.9	2607.6	880.1	1595.6	1099.8	874.2	3073.3	2369.4	699.8	694	3771.2	6459.4	2919.8	5069.3	7192.3	1176.4	6033.4	1704.9	2089.2
1053_at	RFC2	5982	736.1	699.4	726.2	539.4	835.1	726.4	810.5	682.6	554.9	702.9	292.5	265	542.8	282.9	864.1	506.6	794.5	764.9	472.4	860.1	737.4	756.5	575.3	740.7	490	685.7	1087.2	658.9	347.3
117_at	HSPA6	3310	120.6	88.2	101.5	120.3	141.4	218.1	45.3	66.3	84.8	79.3	90.5	330.7	24.5	20.5	35.5	88.4	189.4	38.9	100.9	74.9	104.6	1431.7	131.3	23.9	50.4	188.4	127	91.5	139.9
121_at	PAX8	7849	1108.9	759.2	627	940.1	889.4	967.6	682.2	846.6	833	882.3	652.5	761.1	841.6	1172.9	878.2	757.4	674.2	1044.2	700.1	762.7	788.7	1320.3	1025.6	883.1	1013.7	1027.5	828.5	985.2	1776.3
1255_g_at	GUCA1A	2978	16.9	34.3	28.7	28.6	7.6	44.4	66.3	27.3	55.2	37.5	29.2	55.7	54.8	54.2	27.6	38.3	46.2	54.6	34.3	31.8	33.8	62.7	27.8	37.8	59.5	41.7	43.7	45.1	80.2
1294_at	MIR5193///UBA7	100847079///7318	259.9	129.7	132.4	163.6	286.3	127	119.6	153	135.6	201.6	123.8	510.1	280.2	93.5	106.5	138.2	145.2	172.3	121.6	198.2	100.1	229.4	308.8	198.9	164	180.6	158.1	116.3	219.5
1316_at	THRA	7067	49.6	51.5	53.7	80.5	57.8	101.4	77.5	77.8	58.5	57.5	68.2	102	61.8	181.6	130.8	111.2	62.8	141.6	116.8	114.7	56.6	102.1	64.3	63.1	96.6	129.1	65.7	127.6	161
1320_at	PTPN21	11099	21.8	35.8	89.7	77.8	74.2	17.3	31.3	14.2	36.5	13.5	106.9	90.6	154.7	80.7	12.4	15.9	117.6	97.7	9.7	17	130.4	27.2	19.5	95.4	106.4	79.7	86.8	110.1	21.9
1405_i_at	CCL5	6352	5.1	4.5	12.1	4.1	1940.7	5.8	1.7	3.6	3.8	15.5	161.5	40.4	66.8	5.5	2.9	2	3.4	3.5	2.4	4.2	6.4	4.4	3.8	11	8.7	7.1	68.5	6.4	5.5
1431_at	CYP2E1	1571	41.7	7	14.6	25.4	33.1	48.8	12.8	47.9	39.6	29.2	51.3	38.6	95.8	168.3	43.7	93.4	27.5	11.2	54.3	27.9	44.8	66.2	43.7	34.3	46.5	88.8	48.8	26.9	156.8
1438_at	EPHB3	2049	22.6	70.2	79.5	39.3	16.6	110.8	118.5	65.8	59.2	63	45.8	122.3	62.6	105.1	67.6	23.3	800.4	146.1	117.6	20.3	441.4	157.7	428	995.5	493.6	64.7	109	33.2	506.8
1487_at	ESRRA	2101	699.5	1118.7	421.1	615.9	495	524.4	433.1	558.4	530.4	901.1	784.3	438.1	495	570.7	557	716	751.6	449.6	636.2	702.2	686.9	1668.4	678.5	701.3	794.8	929.5	1049.2	772.2	703.6
1494_f_at	CYP2A6	1548	197.7	166.2	125.7	206.6	136.8	230.2	150.4	220.7	200.8	155.2	118	189.2	234.8	302.9	137	161.3	146.2	264.5	153.2	193.3	214.3	283.7	205.7	219.2	231.5	206.7	293.7	211.6	343.7
1598_g_at	GAS6	2621	1603.9	616.6	631	521	876.8	586.2	430.8	482.6	1933.3	495.3	523.1	2037.2	2363.5	1005.9	473.4	1614.5	2852.6	1363.8	713	895.8	389.4	1980.1	887.5	1041.2	722	1705.6	692.4	1908.7	2772.1
160020_at	MMP14	4323	310.6	219.2	2147.7	238.1	307.5	509.4	232.8	233.1	299.3	374.7	239.9	681.6	888	416.6	315.7	620.9	1260.5	301.3	261	572.2	336.9	2901.1	433.4	437.4	262.5	574.4	895.6	404.2	1815.9
1729_at	TRADD	8717	497	353	288.2	346.3	474.3	200.3	67.2	45.5	69.4	194.4	352.9	482.4	565.5	264.8	304.1	363.4	267.5	131.2	79.2	190.8	212.3	1504	458.8	570.7	514.7	503.4	855.1	245.6	960.6
1773_at	CHURC1-FNTB///FNTB	100529261///2342	323	178.1	267.4	480	230.9	192.3	388.6	215	288.6	326.2	280.2	160.4	167	216.4	166.9	203.9	240.6	281.3	203.1	177.9	362.8	251.2	353.4	204.8	258.8	180.5	244.1	262.7	237.6
177_at	PLD1	5337	160	67.9	64.3	91.1	108.7	71.7	55.8	29.4	42.9	55.6	276.7	272.6	192.1	209.2	73.8	29.2	169.5	45.6	29.3	57.7	270.9	178.9	84.7	166.4	210.6	178.3	200.1	115.1	230.3
179_at	DTX2P1-UPK3BP1-PMS2P11	441263	1037.7	1005	809.1	939.7	942.4	587.7	823	786.7	753.2	569.7	909.9	757.1	688.4	968.7	1089.3	490.9	1151	1003	769.6	788.8	874.6	1343.4	1164.5	1058.2	880.8	725.8	1340.4	949.6	1303
1861_at	BAD	572	431.7	397.5	479.6	390	284.7	307.9	393.6	234.1	366.1	254.5	199.6	316.6	410.7	384.3	478.1	270	328.3	496.2	228.6	198.1	287.7	359.6	333.4	384.5	295.8	388.2	360.3	152.7	624.7
200000_s_at	PRPF8	10594	1582	2565.6	2880.2	3755.1	2867.9	2250.4	1831.6	2040.2	2855.9	482.6	1978.7	2192.1	2707.1	1697.7	1882.9	2355	2302.6	2139.3	3358.9	3045.6	3310	2244.2	1229	2919.2	2300.6	1558.2	1658.9	3151.9	1028.1
200001_at	CAPNS1	826	6768.7	4477.8	5574	9440.2	3775.3	1990	5804.4	5712.4	3849.7	2750.6	6446.4	4182.7	4160.6	2801.4	3337.8	3291.8	5580.7	3036.3	2912.9	1632.6	6745.4	11394	7491.6	5139.9	3185.1	783.1	4396.7	1675.9	5221.9
200002_at	RPL35	11224	17241	15563	16475	12683	19728	19734	16331	15576	15645	19136	10747	18201	12576	19008	13776	19358	15495	10977	12061	15017	10612	18407	17060	9647	6823.8	22110	16202	14582	21717
200003_s_at	MIR6805///RPL28	102465483///6158	13035	15557	14201	13965	21754	7769.4	12222	13123	14901	10902	17248	16568	6646.1	20040	11587	21620	13834	4932.7	12161	14407	12522	23047	18117	10814	15468	17724	10148	8123.4	31734
